GEO.id,GEO.id2,GEO.display-label,total,no_schooling,nursery_school,kindergarten,1st_grade,2nd_grade,3rd_grade,4th_grade,5th_grade,6th_grade,7th_grade,8th_grade,9th_grade,10th_grade,11th_grade,12th_grade_no_diploma,high_school_diploma,ged_or_alternative_credential,some_college_less_than_1_year,some_college_1_or_more_years_no_degree,associates_degree,bachelors_degree,masters_degree,professional_school_degree,doctorate_degree
1400000US53033003200,53033003200,"Census Tract 32, King County, Washington",6896,26,0,0,0,0,0,0,0,0,0,15,0,0,15,0,348,102,205,776,444,3000,1433,374,158
1400000US53033003300,53033003300,"Census Tract 33, King County, Washington",5470,36,0,0,0,0,0,0,0,16,0,0,0,41,0,13,300,49,159,505,354,2511,1043,330,113
1400000US53033003400,53033003400,"Census Tract 34, King County, Washington",2697,13,0,0,0,0,0,0,0,0,10,0,0,0,0,10,91,8,80,175,288,1072,763,116,71
1400000US53033003500,53033003500,"Census Tract 35, King County, Washington",3196,0,0,0,0,0,0,0,0,5,0,1,3,19,0,4,105,58,51,287,120,1264,977,152,150
1400000US53033003600,53033003600,"Census Tract 36, King County, Washington",4961,0,0,0,0,60,0,8,0,0,0,0,0,27,0,0,163,55,156,308,295,2453,858,382,196
1400000US53033003800,53033003800,"Census Tract 38, King County, Washington",1472,20,0,0,0,0,0,0,0,0,0,0,0,0,0,12,72,8,26,153,59,560,316,90,156
1400000US53033003900,53033003900,"Census Tract 39, King County, Washington",2122,15,0,0,0,0,0,0,0,12,0,0,0,0,0,17,23,20,53,320,127,845,351,175,164
1400000US53033004000,53033004000,"Census Tract 40, King County, Washington",2265,0,0,0,0,0,0,0,0,0,5,0,11,77,64,0,99,0,51,164,50,790,500,284,170
1400000US53033004100,53033004100,"Census Tract 41, King County, Washington",5304,0,0,0,0,0,0,0,0,0,0,10,41,2,16,35,129,39,60,123,211,2155,1226,619,638
1400000US53033004200,53033004200,"Census Tract 42, King County, Washington",5953,0,0,0,0,0,24,0,0,0,0,31,0,13,0,39,158,38,199,464,314,2217,1515,440,501
1400000US53033004301,53033004301,"Census Tract 43.01, King County, Washington",2338,0,0,0,0,0,0,25,0,0,0,5,0,0,0,7,113,0,108,189,175,817,499,179,221
1400000US53033004302,53033004302,"Census Tract 43.02, King County, Washington",1302,10,0,0,0,0,0,0,0,0,0,0,0,0,11,19,72,9,43,112,102,368,348,70,138
1400000US53033004400,53033004400,"Census Tract 44, King County, Washington",3863,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,272,20,199,399,48,1602,674,226,378
1400000US53033004500,53033004500,"Census Tract 45, King County, Washington",2194,10,0,0,0,0,0,0,0,0,0,0,19,0,0,0,108,2,44,232,134,1110,333,97,105
1400000US53033004600,53033004600,"Census Tract 46, King County, Washington",2806,17,0,0,0,0,0,0,0,0,0,26,0,0,23,4,120,4,128,266,106,1175,659,144,134
1400000US53033004700,53033004700,"Census Tract 47, King County, Washington",7667,41,0,0,0,0,0,0,28,0,0,26,35,0,0,62,492,127,207,650,434,3905,1270,232,158
1400000US53033004800,53033004800,"Census Tract 48, King County, Washington",4145,0,0,0,0,0,0,0,0,0,0,0,16,0,0,15,216,23,84,407,244,1794,998,190,158
1400000US53033004900,53033004900,"Census Tract 49, King County, Washington",5889,6,0,0,0,0,6,0,0,0,0,0,37,0,43,29,296,41,185,433,396,2874,1003,172,368
1400000US53033005000,53033005000,"Census Tract 50, King County, Washington",3213,0,0,0,0,0,0,0,0,0,0,0,0,0,14,39,132,0,35,291,324,1348,836,109,85
1400000US53033005100,53033005100,"Census Tract 51, King County, Washington",2694,0,0,0,0,0,0,0,0,0,0,0,25,0,13,14,130,49,43,192,142,1037,671,122,256
1400000US53033005200,53033005200,"Census Tract 52, King County, Washington",3203,0,0,0,0,0,0,0,0,0,0,19,0,0,0,17,90,24,210,388,162,1088,814,188,203
1400000US53033005301,53033005301,"Census Tract 53.01, King County, Washington",1908,9,0,0,0,0,38,0,0,0,4,0,8,55,0,0,62,72,5,495,96,479,426,23,136
1400000US53033005302,53033005302,"Census Tract 53.02, King County, Washington",215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,5,11,10,42,5,70,26,0,5
1400000US53033005400,53033005400,"Census Tract 54, King County, Washington",4603,0,0,0,0,0,0,0,0,0,18,31,0,15,0,0,141,0,72,360,223,2174,876,369,324
1400000US53033005600,53033005600,"Census Tract 56, King County, Washington",5111,44,0,0,0,0,0,19,0,0,0,0,0,16,0,36,209,0,135,416,316,2004,1155,398,363
1400000US53033005700,53033005700,"Census Tract 57, King County, Washington",5077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,383,45,149,664,362,2122,841,257,217
1400000US53033005801,53033005801,"Census Tract 58.01, King County, Washington",4121,10,0,0,0,0,0,0,0,14,0,0,16,24,58,20,379,83,186,691,353,1602,511,104,70
1400000US53033005802,53033005802,"Census Tract 58.02, King County, Washington",4458,0,0,0,0,0,0,0,45,0,0,2,0,0,1,41,266,17,164,538,186,2022,861,187,128
1400000US53033005900,53033005900,"Census Tract 59, King County, Washington",4622,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,185,65,161,442,163,1995,920,488,202
1400000US53033006000,53033006000,"Census Tract 60, King County, Washington",4368,37,0,0,0,0,0,0,0,0,0,0,12,4,0,16,153,69,270,456,196,1588,791,400,376
1400000US53033006100,53033006100,"Census Tract 61, King County, Washington",4392,14,0,0,0,0,0,0,0,0,0,0,2,16,15,0,79,18,84,599,173,1729,928,399,336
1400000US53033006200,53033006200,"Census Tract 62, King County, Washington",3282,11,0,0,0,0,0,0,0,0,0,0,16,11,0,0,132,51,25,197,78,1115,902,582,162
1400000US53033006300,53033006300,"Census Tract 63, King County, Washington",4266,5,0,0,0,0,0,0,0,0,0,5,20,18,0,0,54,15,161,401,212,1822,915,432,206
1400000US53033006400,53033006400,"Census Tract 64, King County, Washington",2652,20,0,0,0,0,10,0,0,0,0,7,0,15,0,0,53,45,61,197,67,1186,514,317,160
1400000US53033006500,53033006500,"Census Tract 65, King County, Washington",3842,1,0,0,0,0,0,0,0,0,1,0,2,0,20,0,136,15,145,416,204,1620,692,365,225
1400000US53033006600,53033006600,"Census Tract 66, King County, Washington",3416,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,160,2,128,289,276,1554,602,125,273
1400000US53033006700,53033006700,"Census Tract 67, King County, Washington",7569,34,0,0,0,0,0,0,0,8,0,0,30,33,0,0,236,66,249,733,460,2849,2161,568,142
1400000US53033006800,53033006800,"Census Tract 68, King County, Washington",2379,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,97,20,49,173,86,1154,543,184,66
1400000US53033006900,53033006900,"Census Tract 69, King County, Washington",3781,80,0,0,0,0,0,0,0,0,0,0,0,17,17,0,112,0,119,293,269,1771,760,233,110
1400000US53033007000,53033007000,"Census Tract 70, King County, Washington",6414,59,0,0,0,0,0,0,102,0,1,8,0,0,0,70,302,83,315,703,254,2992,1005,286,234
1400000US53033007100,53033007100,"Census Tract 71, King County, Washington",3769,0,0,0,0,0,0,24,0,2,0,6,0,0,13,0,289,60,100,412,104,1362,1116,193,88
1400000US53033007200,53033007200,"Census Tract 72, King County, Washington",7201,0,0,0,0,0,5,0,0,4,0,70,0,0,5,72,174,159,171,595,445,2969,2169,248,115
1400000US53033007300,53033007300,"Census Tract 73, King County, Washington",5488,0,0,0,0,26,0,16,35,8,33,29,6,32,24,39,211,127,131,921,326,1686,1125,425,288
1400000US53033007401,53033007401,"Census Tract 74.01, King County, Washington",4462,21,0,0,0,0,0,0,0,0,0,0,0,70,0,19,110,34,181,516,308,2116,702,146,239
1400000US53033007402,53033007402,"Census Tract 74.02, King County, Washington",4414,0,0,0,0,0,0,0,0,0,0,0,8,7,72,17,372,153,155,788,220,1613,699,189,121
1400000US53033007500,53033007500,"Census Tract 75, King County, Washington",7239,27,0,1,0,0,27,0,0,0,0,0,1,0,0,28,286,26,224,840,570,3256,1252,458,243
1400000US53033007600,53033007600,"Census Tract 76, King County, Washington",3293,0,0,0,0,0,0,0,35,0,3,0,0,0,17,6,203,0,30,344,165,1319,725,317,129
1400000US53033007700,53033007700,"Census Tract 77, King County, Washington",4043,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,229,38,110,466,320,1784,677,300,114
1400000US53033007800,53033007800,"Census Tract 78, King County, Washington",4199,48,0,0,0,0,0,0,0,35,0,0,22,0,40,0,110,19,34,242,186,1713,996,543,211
1400000US53033007900,53033007900,"Census Tract 79, King County, Washington",5264,71,0,0,0,0,0,42,0,18,20,26,13,49,28,5,294,54,146,523,351,2290,853,172,309
1400000US53033008001,53033008001,"Census Tract 80.01, King County, Washington",6122,0,0,0,0,0,0,0,0,0,0,0,101,0,0,24,368,149,128,605,80,2205,1940,337,185
1400000US53033008002,53033008002,"Census Tract 80.02, King County, Washington",3017,18,0,0,0,0,0,0,0,0,4,5,38,10,30,71,310,116,74,523,169,1123,385,91,50
1400000US53033008100,53033008100,"Census Tract 81, King County, Washington",4247,0,0,0,0,0,9,0,20,14,14,25,12,62,60,129,457,204,117,646,207,1374,656,151,90
